Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
__C_US2D,Chicago Yellow Corn No. 2 Spot Price (US$/Bushel),Commodity Prices,United States Dollar,United States,,,,,,,National Currency,Units,Stock,none,Weekly From Jan 1858 To Dec 1876<BR>Daily From Jan 1877 To Nov 2021<BR>,"There are two series for spot corn.  The first is for Philadelphia (CMCSPM) from Anne Bezanson, Wholesale prices in Philadelphia, 1784-1861 (published 1936-1937) and 1852-1896 (published 1954): a series of relative monthly prices. Philadelphia: University of Pennsylvania Press, 1936-1937 and 1954, and is for Indian corn through 1815, an arithmetic average of Indian and Upper County corn through 1818 and the average of Indian, Upper County and white (Southern) corn through 1851.  Yellow corn is used from 1852 through 1883 and Yellow Corn #2 is used from 1884 through 1896.  The second series is from Chicago, using the Chicago Board of Trade, Chicago: Chicago Board of Trade.  Data from 1858 to 1876 are weekly and beginning in 1877, data are daily and are taken directly from each annual issue.  In most cases, only the closing value for the spot price was available, though in some cases, the bid and ask were provided, and this has been included for the high and low with the average of the two given as the close.",
Date,Ticker,Close
01/02/1858,__C_US2D,0.435
01/09/1858,__C_US2D,0.455
01/16/1858,__C_US2D,0.45
01/23/1858,__C_US2D,0.44
01/30/1858,__C_US2D,0.43
02/06/1858,__C_US2D,0.42
02/13/1858,__C_US2D,0.41
02/20/1858,__C_US2D,0.4
02/27/1858,__C_US2D,0.4
03/06/1858,__C_US2D,0.4
03/13/1858,__C_US2D,0.3
03/20/1858,__C_US2D,0.3125
03/27/1858,__C_US2D,0.325
04/03/1858,__C_US2D,0.35
04/10/1858,__C_US2D,0.375
04/17/1858,__C_US2D,0.395
04/24/1858,__C_US2D,0.41
05/01/1858,__C_US2D,0.445
05/08/1858,__C_US2D,0.41
05/15/1858,__C_US2D,0.405
05/22/1858,__C_US2D,0.42
05/29/1858,__C_US2D,0.46
06/05/1858,__C_US2D,0.465
06/12/1858,__C_US2D,0.4875
06/19/1858,__C_US2D,0.52
06/26/1858,__C_US2D,0.495
07/03/1858,__C_US2D,0.45
07/10/1858,__C_US2D,0.4525
07/17/1858,__C_US2D,0.445
07/24/1858,__C_US2D,0.51
07/31/1858,__C_US2D,0.57
08/06/1858,__C_US2D,0.58
